,name1
177,لپ تاپ ایسوس 15.6 اینچی مدل R1502ZA پردازنده Core i3 1215U رم 8GB حافظه 256GB SSD گرافیک Intel ا R1502ZA Core i3 1215U 8GB 256GB SSD Intel Full HD Laptop
178,لپ تاپ مایکروسافت Surface Go | 8GB RAM | 128GB SSD | i5 ا Laptop Microsoft Surface Go
179,لپ تاپ لنوو  Legion 5 | 16 GB RAM | 1TB SSD | Ryzen 7 5800H | VGA 3060 6GB ا Lenovo Legion 5
180,لپتاب سرفیس پرو 4 رم 8 حافظه 256
181,لپ‌تاپ ایسوس مدل UM3402YA | Ryzen 7 5825U | 1TB SSD | 16GB Ram ا Asus Zenbook UM3402YA
182,لپ تاپ FX517ZR
183,لپ‌ تاپ لنوو IdeaPad 3 | 8GB RAM | 1TB HDD | I3 1115G4 ا Lenovo IdeaPad 3 CA
184,لپ تاپ ایسر A315 - i3(12)-4GB-256GB SSD-2GB(MX550)
185,"لپ تاپ ایسر acer ASPIRE 5532 ، 15.6 inch , پردازنده AMD Athlon 64 processor , رم 3 گیگابایت, هارد 250 گیگابایت , گرافیک ATI Radeon HD3200 Graphics Up to 1408MB HyperMemory, وب کم, VGA port"
186,لپ تاپ ایسوس مدل R565EP | 16GB RAM | 1TB SSD | i7 1165G7 |  VGA Mx330 2GB ا Asus VivoBook R565EP
187,لپ تاپ ایسوس  Pro 15 OLED K3500PH | 8GB RAM | 512GB SSD | I5 | 4GB VGA ا ASUS Pro 15 OLED K3500PH
188,لپ تاپ ایسوس G17 G713RM | 16GB RAM | 1TB SSD | Ryzen 9 | 6GB VGA ا Asus ROG STRIX G17 G713RM
189,لپ تاپ لنوو Ideapad Gaming 3 | 32GB RAM | 1TB SSD | i7 1265H | VGA 3050 4GB ا Lenovo Ideapad Gaming 3
190,لپ تاپ لنوو 15.6 اینچی مدل Ideapad 5 پردازنده Core i3 رم 4GB حافظه 256GB SSD گرافیک 2GB ا Ideapad 5 Core i3 1115G4 4GB 256GB SSD 2GB MX450 FHD IPS Laptop
191,لپ تاپ ایسوس VivoBook Pro 15 M6500QH-B ا VivoBook Pro M6500QH Ryzen 7 | 16GB DDR4 | 512GB SSD | 4GB GeForce GTX 1650
192,لپ تاپ ایسوس 15.6 اینچی مدل X515EA پردازنده Core i3 1115G4 رم 8GB حافظه 512GB SSD گرافیک Intel فول اچ دی ا X515EA Core i3 1115G4 8GB 512GB SSD Intel Full HD Laptop
193,لپ تاپ ایسوس 14 اینچی مدل VivoBook R465EA پردازنده Core i3 1115G4 رم 4GB حافظه 512GB SSD گرافیک Intel ا VivoBook R465EA Core i3 1115G4 4GB 512GB SSD Intel Full HD Laptop
194,ASUS G533ZXلپ تاپ ایسوس G533ZX | 32GB RAM | 1TB SSD | i9 | 16GB VGA ا ROG Strix SCAR 15 G533ZX
195,لپ تاپ ایسوس 15.6 اینچی مدل TUF Gaming FX517ZC پردازنده Core i5 12450H رم 16GB حافظه 512GB SSD گرافیک 4GB RTX3050 ا TUF Gaming FX517ZC Core i5 12450H 16GB 512GB SSD 4GB RTX3050 Full HD Laptop
196,لپ تاپ گیمینگ ایسوس ROG Zephyrus Duo 16 GX650PY-Z (2023)
197,لپ تاپ لنوو  V15 | 4GB RAM | 256GB SSD | i3 ا Laptop Lenovo V15
198,لپ تاپ 17.3 اینچی ام اس ای مدل Sword 17 A12UCX
199,لپ تاپ گیمینگ ایسوس fx506HC  | 32 GB RAM | 1TB SSD | i5 | 4GB VGA ا ASUS Dash  F15  Tuf  fx506HC
200,لپ تاپ مایکروسافت Surface Go | 16GB RAM | 256GB SSD | i5 ا Laptop Microsoft Surface Go
201,لپ تاپ  ایسر Aspire 7 A715 | 16GB RAM | 1TB SSD | Ryzen 7 5700U | VGA 1650 4GB ا Acer Aspire 7 A715
202,"لپ تاپ اپل 13.3 اینچی مدل Apple MacBook Pro 2022 MNEQ3 پردازنده M2 رم 8GB حافظه 512GB SSD ا Apple MacBook Pro 2022 13.3"" MNEQ3 M2 8GB 512GB SSD Laptop"
203,لپ تاپ 15.6 اینچی گیمینگ ایسوس مدل TUF507ZC4-HN118W ا Gaming F15 TUF507ZC4 i5 12500H 8G 512SSD 4G 3050 FHD WIN11 Laptop
204,Acer Nitro 5 AN515 58 i5 12500H 16 1SSD 4 3050Ti FHD ا لپ تاپ ایسر Nitro 5
205,لپ تاپ ایسوس TUF Gaming FX507ZR i7/16GB/512GB SSD/8GB RTX 3070 ا ASUS TUF Gaming FX507ZR i7-12700H/16GB/512GB SSD/8GB RTX 3070 Laptop
206,لپ تاپ 15.6 اینچ لنوو IdeaPad 3-VAD Ryzen 7 5700U/1TB HDD/256GB SSD/12GB/AMD ا Lenovo IdeaPad 3-VAD Ryzen 7 5700U/1TB HDD/256GB SSD/12GB/AMD 15.6 Inch Laptop
207,لپ تاپ سرفیس پرو 6 مایکروسافت رم 8 حافظه 256 گیگابایت COR I5
208,لپ تاپ 15 اینچ ایسوس مدل VivoBook K3502ZA BH
209,لپ تاپ 16 اینچی گیمینگ HP مدل Omen 16-b1 12700h 3070ti
210,لپ تاپ اچ‌ پی OMEN 16-B0002TX | 16GB RAM | 512GB SSD | i5 | 4GB VGA ا OMEN 16-B0002TX
211,ASUS Creator Q540VJ Core i9 (13900H) - 16GB DDR5 - 1TB SSD - 6GB (RTX 3050) 2.8K OLED 120Hz Laptop
212,لپ تاپ اپل   MKGQ3 | 16GB RAM | 1TB SSD | M1 PRO ا Mac  Book  Pro  14inch  MKGQ3
213,لپ تاپ دل مدل Dell Latitude D620/D630 ا Dell Latitude D620
214,لپ تاپ ایسر PH315 | 16GB RAM | 512GB SSD | i7 12700H | VGA 3060 6GB ا Acer Predator Helios 300 PH315
215,مایکروسافت سرفیس لپ تاپ 2 آبی کبالت Core i7/16GB/512GB ا 2 Core i716GB512GB
216,لپ تاپ ایسوس K513EQ | 8GB RAM | 512GB SSD | i7 | 2GB VGA ا Asus K513EQ
217,لپ تاپ لنوو Ideapad Gaming 3 | 16GB RAM | 1TB SSD | i5 | 4GB VGA ا Lenovo Ideapad Gaming 3
218,لپ تاپ ۱۳ اینچ توشیبا Portege Z30 ا Toshiba Portege Z30 | 13 inch | Core i7 | 8GB | 256GB
219,لپ تاپ لنوو مدل Lenovo Legion 5 R5-5600H/16GB/512SSD/4GB 3050TI
220,لپ تاپ اپل 13.6 اینچی مدل Apple MacBook Air 2022 Space Gray MLXX3 پردازنده M2 رم 8GB حافظه 512GB SSD گرافیک 10Core GPU ا Apple MacBook Air 2022 Space Gray MLXX3 M2 8GB 512GB SSD 10-Core GPU 13.6 inch Laptop
221,Lenovo IdeaPad 3 Ryzen 5 5500U 12 512SSD VEGA FHD ا لپ تاپ لنوو Ideapad 3
222,لپ تاپ لنوو 15.6 اینچی مدل Ideapad Gaming 3 پردازنده Core i7 12650H رم 16GB حافظه 512GB SSD گرافیک 6GB 3060 ا IdeaPad Gaming 3 Core i7 12650H 16GB 512GB SSD 6GB 3060 FHD Laptop
223,لپ تاپ Samsung np740u5l
224,LENOVO LEGION 7pro core i9 (13900Hx) 32GB 1TB 12GB (RTX4080) ا لب تاپ لنوو مدلLEGION 7pro core i9 32GB 1TB 12GB
225,"لپ تاپ ایسوس مدل ASUS Vivobook S5402 ا ASUS VivoBook S 14X OLED Laptop, 14.5"" OLED Display 2.8K 16:10 120Hz HDR, Intel Evo Platform, Intel Core i7-12700H CPU, 12GB RAM, 512GB SSD, Windows 11 Home, Midnight Black, S5402ZA-IS74"
226,لپ تاپ لنوو  IdeaPad 3 | 8GB RAM | 1TB HDD | 512GB SSD | i5 | 2GB VGA ا LENOVO IdeaPad 3
227,لپ تاپ مایکروسافت مدل Surface Laptop 4 | 16GB RAM | 256GB SSD | I7 ا Surface Laptop 4
228,لپتاپ ASUS VivoBook 15 K513 ا ASUS VivoBook K513EQ Core i7 1165G7 16GB 512GB SSD 2GB Full HD Laptop
229,لپتاپ Surface Book2 i7 /16GB/512GB/2GB DDR5
230,لپ تاپ ایسوس 15.6 اینچی مدل X515JP پردازنده Core i7 1065G7 رم 16GB حافظه 1TB 256GB SSD گرافیک 2GB MX330 ا X515JP Core i7 1065G7 16GB 1TB 256GB SSD 2GB MX330 FHD Laptop
231,لپ تاپ ایسوس 15.6 اینچی مدل G533ZM پردازنده Core i9 12900H رم 16GB حافظه 512GB SSD گرافیک 6GB RTX 3060 ا ROG Strix SCAR 15 G533ZM Core i9 12900H 16GB 512GB SSD 6GB RTX 3060 FHD Laptop
232,لپ تاپ لنوو 15.6 اینچی مدل Ideapad Gaming 3 پردازنده Ryzen 7 5800H رم 16GB حافظه1TB 512GB SSD گرافیک 4GB 1650 ا IdeaPad Gaming 3 Ryzen 7 5800H 16GB 1TB 512GB SSD 4GB 1650 Full HD Laptop
233,لپ تاپ HP PAVILION 15 GAMING i5 10300H 8GB 512GB SSD GTX 1650 -4GB ا Laptop Hp PAVILION 15
234,لپ تاپ ایسر 32GB RAM | 1TB SSD | VGA 3050 4GB | i7 12700H | AN515 ا Acer Nitro 5 AN515
235,لپ تاپ اپل 13.6 اینچی مدل Apple MacBook Air 2022 Starlight MLY23 پردازنده M2 رم 8GB حافظه 512GB SSD گرافیک 10Core GPU ا Apple MacBook Air 2022 Starlight MLY23 M2 8GB 512GB SSD 10-Core GPU 13.6 inch Laptop
236,لپ تاپ 15.6 اینچی لنوو مدل IdeaPad Gaming 3 Ryzen 7 5800H 16GB 1TB SSD 6GB RTX 3060
237,لپ تاپ سامسونگ 730QDA-COREi5
238,Asus TUF A15 FA507RE Ryzen 7 6800H 8 512SSD 4 RTX3050Ti FHD ا لپ تاپ ایسوس FA507 RE
239,لپ تاپ ایسوس  R1605ZA | 8GB RAM | 512GB SSD | i5 1235U ا ASUS VivoBook R1605ZA
240,مایکروسافت لپ تاپ سرفیس  16GB RAM | 512GB SSD | i7 | Surface laptop 3 ا Surface Laptop 3
241,لپ تاپ لنوو V15 | 8GB RAM | 1TB HDD | I5 | 2GB VGA ا Laptop Lenovo V15
242,لپ تاپ لنوو Legion 5 Pro | 32GB RAM | 1TB SSD | Ryzen 7 6800H | VGA 3060 6GB ا Laptop Lenovo Legion 5 Pro
243,لپ تاپ ایسوس 17.3 اینچی ایسوس مدل ROG Strix G713RM-KH070 R7 6800H 16GB 1TB SSD ا Asus ROG Strix G713RM-KH070 R7 6800H 16GB 1TB SSD 6GB RTX3060 Laptop
244,لپ تاپ ایسوس FX516PE | 8GB RAM | 512GB SSD | I7 | 4GB VGA ا Asus TUF F15 FX516PE
245,لپ تاپ اچ پی  Victus 16 | 16GB RAM | 512GB SSD | i5 | 4GB VGA ا Laptop HP Victus 16
246,لپ تاپ ایسوس 17.3 اینچی مدل VivoBook 17X K1703ZA-A پردازنده Core i7 12700H رم 16GB حافظه 1TB SSD گرافیک INTEL ا ASUS VivoBook 17X K1703ZA-A Core i7 12700H 16GB 1TB SSD INTEL Full HD Laptop
247,لپ تاپ لنوو 4GB RAM | 256GB SSD | N4020 | V15 ا Laptop Lenovo V15
248,لپ تاپ ام اس آی 14 اینچی مدل Modern 14 C13M-438IN پردازنده Core i3-1315U رم 8GB حافظه 512GB SSD گرافیک Intel ا MSI Modern 14 C13M-438IN Core i3-1315U 8GB 512GB SSD Intel Full HD Laptop
249,لپ تاپ HP ZBook 15 G5-Quadro P2000
250,LAPTOP GAMING MSI GE63 RAIDER
251,لپ تاپ اچ پی 15.6 اینچی مدل HP 15s-EQ1015ne Ryzen 3/16/512/AMD (کاستوم شده)
252,لپ تاپ ایسوس ROG Zephyrus G15 GA503RW-B ا Asus R7 6800HS-16GB-1TB SSD-8GB 3070 Ti-WQHD Laptop
253,لپ تاپ  مایکروسافت Surface 4 | 8GB RAM | 256GB SSD | i5 ا Microsoft Surface 4
254,لپ تاپ Asus X1502ZA i3 1215U 4GB 256 Intel
255,"لپ تاپ ایسوس15.6 اینچی R1605ZA گرافیک INTEL گیگابایت ا Asus VivoBook R1605ZA i5-1235U 16GB 512GB SSD INTEL (IRIS XE) 16""FHD Laptop"
256,لپ تاپ ایسوس TUF FX507ZE | 16GB RAM | 512GB SSD | I7 12700H | VGA 3050TI 4GB ا Asus TUF Gaming FX507ZE
257,لپ تاپ لنوو 15.6 اینچی مدل V15 پردازنده Core i3 1115G4 رم 8GB حافظه 512GB SSD گرافیک Intel UHD ا V15 Core i3 1115G4 8GB 512GB SSD Intel Full HD Laptop
258,ایسوس ROG G513 قیمت و خرید تمامی مدل های ASUS G513
259,لپ تاپ مایکروسافت Surface Laptop 5 15-BB ا Microsot i7 1265U-16GB-256SSD-INT-2K Touch Laptop
260,لپ تاپ لنوو IdeaPad Gaming 3 R7 5800H/16GB/512GB SSD/6GB RTX3060 ا Lenovo IdeaPad Gaming 3 R7-5800H/16GB/512GB SSD/6GB RTX3060 15.6Inch Laptop
261,لپ تاپ لنوو IdeaPad Gaming 3 | 16GB RAM | 1TB HDD | 256GB SSD | Ryzen 5 5600H | VGA 3050 4GB ا IdeaPad Gaming 3
262,لپ تاپ ام اس آی  Katana GF66 |  16GB RAM | 1TB SSD | i7 | 4GB VGA ا MSI Katana GF66  11UC
263,لپ تاپ فوجیتسو تبلت شو 360 Fujitsu LifeBook P728
264,لپ تاپ 15 اینچی لنوو مدل Lenovo IdeaPad Gaming 3 - ZA ا Lenovo i7 12650H - 16GB - 1SSD - 6GB RTX 3060 - 120Hz - FULL HD
265,لپ تاپ اپل 8GB RAM | 512GB SSD | M1 | MYD92 ا Apple MYD92
266,لپ‌تاپ ایسوس مدل 16GB | 1TB SSD | I7 12700H | VGA 3060 6GB | G533ZM ا Asus ROG Strix G533ZM
267,لپ تاپ لنوو Lenovo T480 نسل۸ i5 فول اچ دی ۱۴اینچ (نقد و اقساط>طلا-چک)
268,لپ‌تاپ  لنوو مدل Legion 5 | 32GB RAM | 1TB SSD | Ryzen 7 5800H | VGA 3060 6GB  | ا Lenovo Legion 5
269,لپ تاپ مایکروسافت 16GB RAM | 512GB SSD | i7 | Surface 4 ا Laptop Surface 4
270,لپ تاپ ایسوس ROG STRIX G513QY | 16GB RAM | 512GB SSD | R9 | 12GB VGA ا ASUS ROG STRIX G513QY
271,لپ تاپ 15.6 اینچی ایسوس مدل ROG Strix G15 G513RC-HN101 ا Asus Ryzen 7 6800H 8GB 512GB SSD -4GB GeForce RTX 3050 GDDR6 - IPS 15.6 inch FHD Laptop
272,مک بوک ایر m2 سفارشی اسپیس گری/ حافظه یک ترابایت و 16 گیگ رم ا Apple MacBook Air M2 / 16GB / 1TB / Space Gray /cto
273,لپ تاپ لنوو IdeaPad 3 | 8GB RAM | 1TB HDD | 128GB SSD | I3 | 2GB VGA ا Lenovo IdeaPad 3 Laptop
274,لپ تاپ 15.6 اینچی ایسوس مدل VivoBook R1502Z-BQ559 ا Asus i7 16GB 512GB SSD Intel iris up to 8GB
275,لپ تاپ ایسوس G533ZW | 32GB RAM | 1TB SSD | i9 | 8GB VGA ا ASUS G533ZW
276,لپ تاپ لنوو 15.6 اینچی مدل IdeaPad 3 15ITL6 Core i3 12GB 256GB SSD ا IdeaPad 3 15ITL6 Core i3 12GB 256GB SSD
277,لپ تاپ گیمینگ  اچ پی OMEN 16-b0080TX | 16GB RAM | 512GB SSD | i7 | 6GB VGA ا HP OMEN 16-b0080TX
278,لپ تاپ  لنوو  Ideapad Gaming 3 | 8GB RAM | 512GB SSD | i5 | 4GB VGA  GTX 1650 ا Lenovo Ideapad Gaming 3
279,لپ تاپ 16 اینچی اچ پی مدل Spectre x360 16t F1023dx پردازنده Core i7 رم 16GB حافظه 1TB SSD گرافیک 4GB ا HP Spectre x360 16t F1023dx Core i7 1260P 16GB 1TB 4GB UHD Touch Laptop
280,لپ تاپ ایسوس 15.6 اینچی مدل X515EP پردازنده Core i5 1135G7 رم 16GB حافظه 512GB SSD گرافیک 2GB ا X515EP Core i5 1135G7 16GB 512GB SSD 2GB MX330 FHD Laptop
281,لپ تاپ اچ پی  Victus 16 | 32GB RAM | 1TB SSD | i7 11800H | VGA 3050TI 4GB ا Hp Victus  16
282,لپ تاپ 15.6 اینچ Asus مدل Vivobook K6500ZH-HN117
283,لپ تاپ لنوو V15 | 8GB RAM | 1TB HDD | 256GB SSD | Ryzen 5 ا Laptop Lenovo V15
284,"لپ تاپ Lenovo IdeaPad 3 Core i7 (1255U) 8GB 512GB SSD Intel 15.6"" FHD"
285,لپ تاپ لنوو V15 | 12GB RAM | 512GB SSD | i3 ا Laptop Lenovo V15
286,لپ تاپ ایسوس FX506LH | 16GB RAM | 1TB SSD | i5 | 4GB VGA ا Laptop Asus FX506LH
287,لپ تاپ توشیبا Toshiba Tecra X40 الترابوک نسل هشتم ا Toshiba Tecra X40-E Core i5
288,لپ تاپ گیمینگ 15.6 اینچ MSI مدل Katana 15 B13VEK
289,لپ تاپ لنوو LENOVO LEGION 5-NE R7 5800H/16GB/1TB SSD/RTX 3060 6GB
290,لپ تاپ لنوو Ideapad 3 | 8GB RAM | 1TB HDD | 256GB SSD | i5 1135G7 | VGA Mx350 2GB ا Lenovo Ideapad 3
291,لپ تاپ ایسوس 15.6 اینچی مدل TUF FX506HC پردازنده Core i7 11800H رم 16GB حافظه 512GB SSD گرافیک 4GB RTX3050 ا TUF Gaming FX506HC Core i7 11800H 16GB 512GB SSD 4GB RTX3050 Full HD Laptop
292,لپ تاپ ایسوس گیمینگ ا ASUS ROG G55V
293,لپ‌ تاپ 15.6 اینچی ایسر مدل Aspire 5 A515-57G-553M ا Acer Aspire 5 A515-57G-553M i5 1240P- 16GB -512GB SSD - RTX2050 4G
294,لپ تاپ  ایسوس R565EA | 8GB RAM | 512GB SSD | i3 ا Laptop Asus VivoBook R565EA
295,MacBook Pro 16.2 inch Space Gray MNWA3
296,لپ تاپ Razer مدل Blade 15 Base Model GTX 1660 – Core i7 – 16GB – 256GB SSD
297,لپ تاپ 15.6 اینچی ام اس آی مدل MSI Pulse GL66 i5-11400H ا MSI Pulse GL66 Gaming Laptop 15.6″ i5(11400H)8GB-512GB SSD-4GB (RTX 3050) 144Hz FHD
298,لپ تاپ لنوو Legion 5 | 16GB RAM | 512GB SSD | i5 | 4GB VGA ا Laptop Lenovo Legion 5
299,لپ تاپ گیمینگ ایسوس TUF Gaming A15 FA507NV-XB (2023)
300,Acer Nitro5 AN515 i7 11800H 8GB 512ssd 4G RTX3050 ا لپ تاپ 15 اینچی ایسر مدل Nitro5 AN515
301,تبلت لپتاپ توشیبا مدل TOSHIBA DYNABOOK SATELLITE PRO ET10-G-106
302,لپ تاپ  اچ‌ پی OMEN 16 | 32GB RAM | 1TB SSD | Ryzen 7 5800H |  VGA RX6600M 8GB ا OMEN  16  C0002dx
303,لپ تاپ ایسر Aspire 3 A315 | 8GB RAM | 256GB SSD | 1TB HDD | i3 ا Acer Aspire 3 A315
304,لپ تاپ اپل 13.6 اینچی مدل Apple MacBook Air 2022 Silver MLXY3 پردازنده M2 رم 8GB حافظه 256GB SSD ا Apple MacBook Air 2022 Silver MLXY3 M2 8GB 256GB SSD 13.6 inch Laptop
305,لپ تاپ گیمینگ الین ویر مدل Alienware M18 2023 i9-13900HX RTX4090 64GB 2TB 2.5K 165HZ
306,ASUS VivoBook K3500PC OLED i7 11370H 16 1SSD 4 RTX3050 FHD ا لپ تاپ ایسوس K3500 PC
307,لپ تاپ 13.4 اینچ ایسوس مدل 16GB | 1TB SSD | I9 12900H | VGA 3050TI 4GB ا Asus ROG FLOW GZ301ZE
308,لپ تاپ ایسوس K513EQ | 16GB RAM | 512GB SSD | i5 | 2GB VGA ا ASUS VivoBook K513EQ
309,لپ تاپ HP ZBook 15 G6
310,لپ تاپ ۱۵ اینچ مایکروسافت Surface Book 2 ا Microsoft Surface Book 2 | 15 Inch | Core i7 | 16GB | 1TB | 6GB
311,Dell G15 Ryzen7 5800H 16 512SSD 6 RTX3060 FHD ا لپ تاپ دل G15
312,لپ تاپ مایکروسافت  16GB RAM | 256GB SSD | 4GB VGA | i7 | Surface Book 3 ا Laptop Surface Book 3
313,لپتاپ HP Zbook Firefly 14 G8 Mobile Workstation ا Laptap HP Zbook Firefly 14 G8 Mobile Workstation
314,لپ تاپ لنوو IdeaPad Gaming 3 | 16GB RAM | 1TB HDD | 256 GB SSD | I3 | 4GB VGA ا Lenovo IdeaPad Gaming 3
315,لپ تاپ ایسوس ROG Zephyrus G14 GA401QC | 16GB RAM | 512GB SSD | Ryzen 7 | 4GB VGA ا ASUS ROG Zephyrus G14 GA401QC
316,لپ تاپ اچ پی OMEN 16-B0004TX i7(11800)-16-1000-4(3050Ti) نمایشگر 16 اینچ ا OMEN 16-B0004TX i7(11800)/16/1000/4/FHD -16 inch
317,لپ تاپ 14 اینچی ایسوس مدل ZenBook Duo UX481FLC - AP ا ZenBook Duo UX481FLC - AP Core i7 16GB 1TB SSD 2GB Full HD Laptop
318,لپ تاپ ایسر Aspire 5 A515-57G-77JZ-AA ا Acer i7 1260P-16GB-1TB SSD-4GB 2050-FHD Laptop
319,لپ تاپ  مایکروسافت Surface Book 3 | 32GB RAM | 1TB SSD | 6GB VGA | i7 ا Surface  Book  3
320,لپ تاپ ایسوس 16 اینچی مدل ROG Zephyrus GU603ZW پردازنده Core i9 12900H رم 16GB حافظه 1TB SSD گرافیک 8GB 3070Ti ا ROG Zephyrus GU603ZW Core i9 12900H 16GB 1TB SSD 8GB 3070Ti WQXGA Laptop
321,لپ تاپ ایسوس مدل ASUS Vivobook pro 15 K6500ZH-MA138W پردازنده Core I7 12650H رم 16GB حافظه 512GB SSD گرافیک 4GB GTX 1650
322,لپ تاپ باریک و سبک سامسونگ ا Samsung NP535U
323,لپ تاپ 15.6 اینچی ایسوس مدل ROG Strix G15 G513RM R7 16G 1T SSD ا Asus R7 6800H-16GB-1TB SSD-6GB 3060-WQHD Laptop
324,لپتاپ HP Zbook firefly 14 G9 Mobile Workstation ا Laptap HP Zbook firefly 14 G9 Mobile Workstation
325,لپ تاپ گیمینگ 15.6 اینچ Acer مدل Nitro 5 AN515-58-787Q
326,لپ تاپ ایسوس ROG Strix G16 G614JV-AA ا Asus i7 13650HX-16GB-1TB SSD-8GB 4060-WUXGA Laptop
327,لپ تاپ 15.6 اینچی ایسر مدل Aspire A715 R7 16G 512GB SSD ا Acer Aspire A715 42G Ryzen7 5700U 16G 512G SSD 4G 1650 FHD
328,لپ تاپ گیمینگ ایسوس مدل ASUS ROG Zephyrus Duo 16 (2023) R9-7945HX RTX4090 Mini LED
329,لپ تاپ لمسی لنوو یوگا 260 مدل Lenovo ThinkPad yoga 260-8-256
330,Lenovo Ideapad 3 CELERON N4020 4GB 256GB SSD INTEL
331,ASUS TUF Gaming A15 FA507RM Ryzen 7 (6800H) - 16GB - 1TB SSD - 6GB (RTX3060) Laptop ا لپ تاپ 15.6 اینچی ایسوس تاف A15 FA507RMRyzen 7 (6800H) - 16GB - 1TB SSD - 6GB (RTX3060)
332,ASUS ROG Strix G15 G513RM Ryzen 7 (6800H) - 16GB DDR5 - 512GB SSD - 6GB (3060) 15.6'' WQHD Laptop ا لپ تاپ 15.6 اینچی ایسوس راگ استریکس ASUS ROG Strix G15 G513RM Ryzen 7 (6800H) - 16GB DDR5 - 512GB SSD - 6GB (3060) 15.6'' WQHD
333,لپ تاپ اچ پی مدل HP Elite X2 612 Pro
334,Acer Nitro 5 AN515 58 i5 12500H 8 512SSD 4 3050Ti FHD ا لپ تاپ ایسر Nitro 5
335,لپ تاپ هوآوی 14 اینچ مدل MateBook X PRO 2020 با پردازنده Core i7 نسل دهم رم 16GB ظرفیت 1TB SSD گرافیک 2GB ا MateBook X PRO 2020 Core i7 10510U 16GB 1TB SSD 2GB Full HD Laptop
336,لپ تاپ ایسوس TUF Gaming F15 FX506HM | 16GB RAM | 512GB SSD | i7 | 4GB VGA ا Asus TUF Gaming F15 FX506HE
337,"لپ تاپ ۱۳ اینچ مایکروسافت Surface Book ا Microsoft Surface Book 2 13.5""(Intel Core i5, 8GB RAM, 256 GB), silver 13.5"" Intel Core i5, 8GB RAM, 256GB"
338,لپتاپ DELL Latitude 7480 Core i5 نسل هفتم
339,لپ تاپ ایسر 8GB RAM | 1TB | 256 GB SSD | VGA Mx550 2GB | i5 1235U | A315 ا Acer Aspire 3 A315
340,لپ تاپ اچ پی 16GB RAM | 1TB SSD | i7 |  x360 ا HP Spectre x360 13t-AW000-E
341,"لپ تاب Dell XPS 17 9710 17″ UHD+ Laptop ا Dell XPS 17 9710 17"" UHD+ Laptop, Intel Core i9-11900H, 32GB RAM, 1TB SSD, NVIDIA GeForce RTX 3060 6GB, Touchscreen, Backlit Keyboard, Fingerprint Reader, Windows 10 Home, (Platinum Silver)"
342,لپ تاپ ایسوس نسل 12 مدل ASUS X1502Z I3 1215U 12G RAM 512G SSD INTEL 15.6 FHD ا ASUS X1502Z I3 1215U 12G RAM 512G SSD INTEL 15.6 FHD
343,لپ تاپ victus 16 Ryzen5 5600H  16GB  512SSD  RTX 3050-4GB
344,لپ تاپ لمسی 15.6 اینچی ایسوس مدل Asus Zenbook Flip 15 Q508 - LKC ا Asus Ryzen 7 5700U - 8GB - 1SSD - 2GB MX450 - FULL HD - TOUCH
345,لپ تاپ ایسوس 15.6 اینچی مدل Vivobook 15X OLED M1503IA-L1099 Ryzen 5 8GB 1TB SSD ا ASUS Vivobook 15X OLED M1503IA-L1099 Ryzen 5 8GB 1TB SSD laptop
346,مک بوک پرو 16GB RAM | 1TB SSD | 4GB VGA | i9 | MVVK2 ا MacBook Pro MVVK2
347,لپ تاپ 15.6 اینچی هوآوی مدل Huawei MateBook D15 BoB-WAH9
348,مک بوک پرو 15 اینچ رتینا با تاچ بار - 2018
349,لپ تاپ ایسوس N7400PC | 16GB RAM | 1TB SSD | I7 11370H | VGA 3050 4GB ا Vivobook Pro 14X OLED N7400PC
350,لپ تاپ ایسوس مدل VivoBook X515EP Core i7(1165G7)-16GB-512GB SSD-2GB(MX330)-Full HD
351,لپ تاپ  لنوو  ThinkBook 15 | 8GB RAM | 1TB SSD | i7 |  2GB VGA ا Lenovo  ThinkBook   15  HB
352,لپ تاپ ایسوس X515JA-MBB | 8GB RAM | 256GB SSD | i3 ا ASUS  X515JA  MBB
353,لپ تاپ ایسوس 15.6 اینچی مدل VivoBook Pro D3500QC DG R7 5800H 16GB 512GB SSD ا Asus VivoBook Pro D3500QC DG R7 5800H 16GB 512GB SSD 4GB Laptop
354,لپ تاپ 15 اینچی ام اس آی مدل MSI GF63 - 11SC Thin - B ا MSI Core i7 10750H - 8GB - 512SSD - 4GB RTX3050 - 144Hz - FULL HD
355,لپ تاپ ایسوس 15.6 اینچی FX517ZC گرافیک 4 گیگابایت ا Asus TUF Dash F15 FX517ZC i7 12650H-16GB-512GB SSD-4GB 3050TI 15.6 FHD 144HZ Laptop
356,لپ تاپ لمسی لنوو مدل Lenovo ThinkPad yoga 260 - i5 8G 256GSSD Intel
357,لپ تاپ اچ پی مدل HP ZBook 17 G3 – i7 6820HQ 16G 512GSSD 4G M3000M ا hp zbook 17 g3 core i7 6th 16gig 512ssd graphic 4
358,لپتاپ HP Zbook Firefly 14 G8 Mobile Workstation ا Laptap HP Zbook Firefly 14 G8 Mobile Workstation
359,لپ تاپ Hp pavilion x360 m3 u001dx
360,لپ تاپ ایسر A315 | 8GB RAM | 1TB HDD | i7 1165G7 | VGA Mx350 2GB ا Aspire A315 Laptop
361,لپ تاپ ایسوس Asus Vivobook S 15 OLED K3502ZA پردازنده Core i5 12500H رم 8GB حافظه 1TB SSD گرافیک Intel – مشکی ا Asus Vivobook S 15 OLED K3502ZA I5: 12500H - 8GB -1TB SSD - INTEL
