,name2
84,Gaming F15 TUF507ZC4 i5 12500H 16G 512SSD 4G 3050 FHD WIN11 Laptop
85,Lenovo Ideapad 3 
86,Apple MK193 
87,ASUS  G533ZW
88,Lenovo IdeaPad 1
89,
90,MacBook Pro MYD82
91,VivoBook X515EP
92,Laptop Lenovo V15
93,hp zbook g4
94,ROG Strix SCAR 15 G533ZM Core i9 12900H 16GB 1TB SSD 6GB RTX 3060 QHD Laptop
95,VivoBook R565EP Core i7 1165G7 16GB 512GB SSD 2GB Full HD Laptop
96,Laptop Asus FX517ZE
97,Lenovo IdeaPad 3
98,
99,X515JP Core i7 1065G7 16GB 512GB SSD 2GB MX330 FHD Laptop
100,
101,ASUS VivoBook R1605ZA
102,Acer Nitro 5 AN515
103,HP Victus 15-FA0032DX Core i7 12650H 16GB 512GB SSD 4GB FULL HD Laptop
104,Lenovo IdeaPad 3 
105,Laptop Lenovo Legion 5 Pro 
106,MacBook Air MGN93 
107,Laptop Surface book 3
108, Lenovo Ideapad 5 
109,Laptop Lenovo Ideapad 3
110,لپ تاپ ایسوس UM535QE
111,Asus ROG STRIX G513RM
112,
113,Acer  Nitro 5
114,Apple MacBook Air 2022 Midnight MLY43 M2 8GB 512GB SSD 10-Core GPU 13.6 inch Laptop
115,Laptop Asus TUF Gaming F15 FX507ZM
116,
117,HP Victus 15-FA0031DX Core i5 12450H 32GB 1TB SSD 4GB 1650 FHD Laptop
118,Laptop Lenovo V15 
119,
120,
121,VivoBook TP1401KA-EC021
122,VivoBook M1603QA Ryzen 7 5800H 16GB 512GB SSD 8RX VEGA Full HD Laptop
123,
124,ASUS TUF Gaming FX507ZE
125,
126,ROG FLOW GV301RE Ryzen 9 6900HS 16GB 1TB SSD 4GB RTX 3050TI Full HD Laptop
127,
128,Asus Vivobook Pro M6500QC
129,Ideapad 3 Celeron N4020 4G 1T+512S Intel FHD Laptop
130,ASUS TUF GAMING F17 FX517ZM 
131,Lenovo IdeaPad 3
132,Vivobook 15 K513EQ i7 16GB 1TB SSD 2G MX350
133,HP ZBook 15 G3
134, ROG  Zephyrus  M16  GU603ZM
135,MacBook Pro MPHF3 2023 - M2 Pro - 16GB - 1TB 14 inch Laptop
136,لپ تاپ ام اس آی GF63
137,Lenovo Ideapad 3 
138,HP Pavilion Gaming 15-ec2010 Ryzen 5 5600H 8GB 512GB SSD 4GB 3050 FHD Laptop
139,
140,Lenovo  Ideapad Gaming 3  
141, Asus  VivoBook  X515JP 
142,
143,
144,HP Pavilion X360  14 Inch Laptop
145,
146,R1502ZA Core i3 1215U 4GB 256GB SSD Intel Full HD Laptop
147,ASUS TUF FX517ZC-HN044 
148,
149,
150,Laptop Lenovo V15 
151,ASUS Vivobook M7600QE
152,Samsung Galaxy Book Pro 360 Intel Evo i7 with Windows 10 Home 15.6 Inch Touchscreen Laptop 16GB RAM 512GB Storage Mystic Navy (UK Version)
153,VivoBook K6500ZC-A Core i7 12700H 16GB 1TB SSD 4GB 3050 2.8K Laptop
154,Asus VivoBook R1502Z-BQ708- i5 1235U-8GB-512GB SSD-Intel Iris Up To 4GB-15.6 inch FHD laptop
155, HP OMEN 16 B0001
156,
157,Laptop Surface 3
158,Microsoft SurfaceBOOK
159,MSI Thin GF63 12VE Core i5 12450H 8GB DDR4 512GB SSD 6GB 4050 FHD 15.6inch
160,HUAWEI MateBook B3-420 i5 1135G7 8G 512 SSD INTEL Iris Xe 14 inch Laptop
161,Asus i5 12500H-16GB-512GB SSD-4GB GeForce RTX 3050 -IPS 17.3 FHD Laptop
162,Asus ZenBook 13 UX325EA Core i5 1135G7 16GB 512GBB SSD Intel Full HD Laptop
163, VICTUS  16t  D000  A6
164,ZenBook Pro UX582ZM Core i7 12700H 16GB 1TB SSD 6GB 3060 4K OLED Laptop
165,ASUS E410MA
166,IdeaPad Gaming 3 Ryzen 7 5800H 16GB 1TB SSD 4GB 3050 Full HD Laptop
167,HP 255 G8 R5-A Ryzen 5 5500U 8GB 512GB SSD AMD FHD Laptop
168,Asus TUF FA507RE
169,ROG Strix G713RW Ryzen 9 6900HX 16GB 1TB SSD 8GB RTX 3070Ti Full HD Laptop
170,"Dell G15 5511 Gaming Laptop - 15.6 inch FHD 120Hz Display - Intel Core i7-11800H, 16GB DDR4 RAM, 512GB SSD, NVIDIA GeForce RTX 3050ti 4GBB"
171,Laptop Surface 4
172,Nitro 5 AN515 Core i9 11900H 16GB 512GB SSD 6GB 3060 Full HD Laptop
173,ROG Strix G513RW Ryzen 7 6800H 16GB 1TB SSD 8GB RTX 3070Ti 2K Laptop
174, HP ENVY X360 
175,VivoBook M1603QA Ryzen 5 5600H 8GB 512GB SSD RX VEGA 7 Full HD Laptop
176,XPS 15 9560 Core i7 16GB 512GB SSD 4GB 4K Touch Laptop
177,R1502ZA Core i3 1215U 8GB 256GB SSD Intel Full HD Laptop
178,Laptop Microsoft Surface Go
179,Lenovo Legion 5
180,
181,Asus Zenbook UM3402YA
182,
183,Lenovo IdeaPad 3 CA
184,
185,
186,Asus VivoBook R565EP 
187,ASUS Pro 15 OLED K3500PH 
188,Asus ROG STRIX G17 G713RM
189,Lenovo Ideapad Gaming 3
190,Ideapad 5 Core i3 1115G4 4GB 256GB SSD 2GB MX450 FHD IPS Laptop
191,  VivoBook Pro M6500QH Ryzen 7 | 16GB DDR4 | 512GB SSD | 4GB GeForce GTX 1650 
192,X515EA Core i3 1115G4 8GB 512GB SSD Intel Full HD Laptop
193,VivoBook R465EA Core i3 1115G4 4GB 512GB SSD Intel Full HD Laptop
194,ROG Strix SCAR 15 G533ZX
195,TUF Gaming FX517ZC Core i5 12450H 16GB 512GB SSD 4GB RTX3050 Full HD Laptop
196,
197, Laptop Lenovo V15
198,
199, ASUS Dash  F15  Tuf  fx506HC 
200,Laptop Microsoft Surface Go
201,  Acer Aspire 7 A715   
202,"Apple MacBook Pro 2022 13.3"" MNEQ3 M2 8GB 512GB SSD Laptop"
203,Gaming F15 TUF507ZC4 i5 12500H 8G 512SSD 4G 3050 FHD WIN11 Laptop
204,لپ تاپ ایسر Nitro 5
205,ASUS TUF Gaming FX507ZR i7-12700H/16GB/512GB SSD/8GB RTX 3070 Laptop
206,Lenovo IdeaPad 3-VAD Ryzen 7 5700U/1TB HDD/256GB SSD/12GB/AMD 15.6 Inch Laptop
207,
208,
209,
210,OMEN 16-B0002TX 
211,
212, Mac  Book  Pro  14inch  MKGQ3 
213,Dell Latitude D620
214,Acer Predator Helios 300 PH315
215,2 Core i716GB512GB
216,Asus K513EQ 
217,Lenovo Ideapad Gaming 3
218,Toshiba Portege Z30 | 13 inch | Core i7 | 8GB | 256GB
219,
220,Apple MacBook Air 2022 Space Gray MLXX3 M2 8GB 512GB SSD 10-Core GPU 13.6 inch Laptop
221,لپ تاپ لنوو Ideapad 3
222,IdeaPad Gaming 3 Core i7 12650H 16GB 512GB SSD 6GB 3060 FHD Laptop
223,
224,لب تاپ لنوو مدلLEGION 7pro core i9 32GB 1TB 12GB
225,"ASUS VivoBook S 14X OLED Laptop, 14.5"" OLED Display 2.8K 16:10 120Hz HDR, Intel Evo Platform, Intel Core i7-12700H CPU, 12GB RAM, 512GB SSD, Windows 11 Home, Midnight Black, S5402ZA-IS74"
226,LENOVO IdeaPad 3
227, Surface Laptop 4
228,ASUS VivoBook K513EQ Core i7 1165G7 16GB 512GB SSD 2GB Full HD Laptop
229,
230,X515JP Core i7 1065G7 16GB 1TB 256GB SSD 2GB MX330 FHD Laptop
231,ROG Strix SCAR 15 G533ZM Core i9 12900H 16GB 512GB SSD 6GB RTX 3060 FHD Laptop
232,IdeaPad Gaming 3 Ryzen 7 5800H 16GB 1TB 512GB SSD 4GB 1650 Full HD Laptop
233,Laptop Hp PAVILION 15 
234,Acer Nitro 5 AN515
235,Apple MacBook Air 2022 Starlight MLY23 M2 8GB 512GB SSD 10-Core GPU 13.6 inch Laptop
236,
237,
238,لپ تاپ ایسوس FA507 RE
239,ASUS VivoBook R1605ZA
240,Surface Laptop 3
241, Laptop Lenovo V15 
242,Laptop Lenovo Legion 5 Pro
243,Asus ROG Strix G713RM-KH070 R7 6800H 16GB 1TB SSD 6GB RTX3060 Laptop
244,Asus TUF F15 FX516PE
245,Laptop HP Victus 16
246,ASUS VivoBook 17X K1703ZA-A Core i7 12700H 16GB 1TB SSD INTEL Full HD Laptop
247,Laptop Lenovo V15
248,MSI Modern 14 C13M-438IN Core i3-1315U 8GB 512GB SSD Intel Full HD Laptop
249,
250,LAPTOP GAMING MSI GE63 RAIDER
251,
252,Asus R7 6800HS-16GB-1TB SSD-8GB 3070 Ti-WQHD Laptop
253,Microsoft Surface 4 
254,
255,"Asus VivoBook R1605ZA i5-1235U 16GB 512GB SSD INTEL (IRIS XE) 16""FHD Laptop"
256,Asus TUF Gaming FX507ZE
257,V15 Core i3 1115G4 8GB 512GB SSD Intel Full HD Laptop
258,
259,Microsot i7 1265U-16GB-256SSD-INT-2K Touch Laptop
260,Lenovo IdeaPad Gaming 3 R7-5800H/16GB/512GB SSD/6GB RTX3060 15.6Inch Laptop
261,IdeaPad Gaming 3 
262, MSI Katana GF66  11UC 
263,
264,Lenovo i7 12650H - 16GB - 1SSD - 6GB RTX 3060 - 120Hz - FULL HD
265,Apple MYD92
266,Asus ROG Strix G533ZM
267,
268,Lenovo Legion 5 
269,Laptop Surface 4 
270,ASUS ROG STRIX G513QY
271,Asus Ryzen 7 6800H 8GB 512GB SSD -4GB GeForce RTX 3050 GDDR6 - IPS 15.6 inch FHD Laptop
272,Apple MacBook Air M2 / 16GB / 1TB / Space Gray /cto
273,Lenovo IdeaPad 3 Laptop
274,Asus i7 16GB 512GB SSD Intel iris up to 8GB
275,ASUS G533ZW 
276,IdeaPad 3 15ITL6 Core i3 12GB 256GB SSD
277, HP OMEN 16-b0080TX 
278,Lenovo Ideapad Gaming 3
279,HP Spectre x360 16t F1023dx Core i7 1260P 16GB 1TB 4GB UHD Touch Laptop
280,X515EP Core i5 1135G7 16GB 512GB SSD 2GB MX330 FHD Laptop
281, Hp Victus  16
282,
283,Laptop Lenovo V15 
284,
285,Laptop Lenovo V15
286, Laptop Asus FX506LH
287,Toshiba Tecra X40-E Core i5
288,
289,
290,Lenovo Ideapad 3 
291,TUF Gaming FX506HC Core i7 11800H 16GB 512GB SSD 4GB RTX3050 Full HD Laptop
292,ASUS ROG G55V
293,Acer Aspire 5 A515-57G-553M i5 1240P- 16GB -512GB SSD - RTX2050 4G
294,Laptop Asus VivoBook R565EA
295,
296,
297,MSI Pulse GL66 Gaming Laptop 15.6″ i5(11400H)8GB-512GB SSD-4GB (RTX 3050) 144Hz FHD
298,Laptop Lenovo Legion 5
299,
300,لپ تاپ 15 اینچی ایسر مدل Nitro5 AN515
301,
302, OMEN  16  C0002dx 
303,Acer Aspire 3 A315
304,Apple MacBook Air 2022 Silver MLXY3 M2 8GB 256GB SSD 13.6 inch Laptop
305,
306,لپ تاپ ایسوس K3500 PC
307,Asus ROG FLOW GZ301ZE
308,ASUS VivoBook K513EQ
309,
310,Microsoft Surface Book 2 | 15 Inch | Core i7 | 16GB | 1TB | 6GB
311,لپ تاپ دل G15
312,Laptop Surface Book 3 
313,Laptap HP Zbook Firefly 14 G8 Mobile Workstation
314,Lenovo IdeaPad Gaming 3
315,ASUS ROG Zephyrus G14 GA401QC
316,OMEN 16-B0004TX i7(11800)/16/1000/4/FHD -16 inch
317,ZenBook Duo UX481FLC - AP Core i7 16GB 1TB SSD 2GB Full HD Laptop
318,Acer i7 1260P-16GB-1TB SSD-4GB 2050-FHD Laptop
319, Surface  Book  3 
320,ROG Zephyrus GU603ZW Core i9 12900H 16GB 1TB SSD 8GB 3070Ti WQXGA Laptop
321,
322,Samsung NP535U
323,Asus R7 6800H-16GB-1TB SSD-6GB 3060-WQHD Laptop
324,Laptap HP Zbook firefly 14 G9 Mobile Workstation
325,
326,Asus i7 13650HX-16GB-1TB SSD-8GB 4060-WUXGA Laptop
327,Acer Aspire A715 42G Ryzen7 5700U 16G 512G SSD 4G 1650 FHD
328,
329,
330,
331,لپ تاپ 15.6 اینچی ایسوس تاف A15 FA507RMRyzen 7 (6800H) - 16GB - 1TB SSD - 6GB (RTX3060)
332,لپ تاپ 15.6 اینچی ایسوس راگ استریکس ASUS ROG Strix G15 G513RM Ryzen 7 (6800H) - 16GB DDR5 - 512GB SSD - 6GB (3060) 15.6'' WQHD
333,
334,لپ تاپ ایسر Nitro 5
335,MateBook X PRO 2020 Core i7 10510U 16GB 1TB SSD 2GB Full HD Laptop
336,Asus TUF Gaming F15 FX506HE
337,"Microsoft Surface Book 2 13.5""(Intel Core i5, 8GB RAM, 256 GB), silver 13.5"" Intel Core i5, 8GB RAM, 256GB"
338,
339,Acer Aspire 3 A315
340,HP Spectre x360 13t-AW000-E
341,"Dell XPS 17 9710 17"" UHD+ Laptop, Intel Core i9-11900H, 32GB RAM, 1TB SSD, NVIDIA GeForce RTX 3060 6GB, Touchscreen, Backlit Keyboard, Fingerprint Reader, Windows 10 Home, (Platinum Silver)"
342,ASUS X1502Z I3 1215U 12G RAM 512G SSD INTEL 15.6 FHD
343,
344,Asus Ryzen 7 5700U - 8GB - 1SSD - 2GB MX450 - FULL HD - TOUCH
345,ASUS Vivobook 15X OLED M1503IA-L1099 Ryzen 5 8GB 1TB SSD laptop
346, MacBook Pro MVVK2 
347,
348,
349,Vivobook Pro 14X OLED N7400PC
350,
351,Lenovo  ThinkBook   15  HB 
352,ASUS  X515JA  MBB
353,Asus VivoBook Pro D3500QC DG R7 5800H 16GB 512GB SSD 4GB Laptop
354,MSI Core i7 10750H - 8GB - 512SSD - 4GB RTX3050 - 144Hz - FULL HD
355,Asus TUF Dash F15 FX517ZC i7 12650H-16GB-512GB SSD-4GB 3050TI 15.6 FHD 144HZ Laptop
356,
357,hp zbook 17 g3 core i7 6th 16gig 512ssd graphic 4
358,Laptap HP Zbook Firefly 14 G8 Mobile Workstation
359,
360,Aspire A315 Laptop
361,Asus Vivobook S 15 OLED K3502ZA I5: 12500H - 8GB -1TB SSD - INTEL
362,X515EP Core i7 1165G7 12GB 512GB SSD 2GB MX330 FHD Laptop
363, Surface  Book  3 
364,Laptop Asus VivoBook R565EA
365,Laptop Lenovo Legion 5
366,HP ZBook 15 Studio G3
367,
368,ASUS i5 1135G7-16GB-512GB SSD-2GB GeForce MX330 GDDR5-IPS ۱۵.۶ inch FHD Laptop
369,Apple MKGR3 
370,
371,
372,Lenovo IdeaPad Flex 5 14ITL05 i5 8GB 256GB SSD ۱4 inch FHD Laptop
373,
374,Lenovo Ideapad 3 
375,VivoBook 15 M513UA Ryzen 7 5700U 16G 512SSD Radeon FHD
376,
377,
378,
379,Apple MacBook Air 2022 Silver MLY03 M2 8GB 512GB SSD 10-Core GPU 13.6 inch Laptop
380,
381,Asus R9 6900HS-16GB-1TB SSD-8GB 3070 Ti-WQHD Laptop
382,
383,ASUS FX507ZM
384,HP Victus16
385,
386,Surface Laptop Studio 14.4inch Core i7-11370H 32GB 2TB SSD 4GB RTX 3050Ti Touch Laptop
387,لپ تاپ ایسوس K6500 ZC
388,
389,
390,
391,N.B ASUS TUF GAMING FX706HM-HX031W i5-11400H/16/512SSD/6-RTX3060
392,Lenovo  Legion  5  PRO  BC
393,سبک
394,TUF Gaming FX516PM Laptop
395,لپ تاپ لنوو Legion 5
396,LENOVO IdeaPad 3
397,Lenovo IdeaPad 5
398,
399,HP ZBook G5 | 15 Inch | Core i7 | 32GB | 512GB | 4GB
400,MSI GF66 KATANA 11UE-A 15.6 inch laptop
401,
402,
403,
404,
405,
406, Aspire7  A715  42G  R9W3
407,ASUS  VivoBook  M513UA  L1269
408, Aspire 3 A315 
409,Lenovo IdeaPad 5
410,
411,Lenovo Legion 5
412,Laptop Lenovo V15
413,
414,Lenovo Ideapad 1 
415,MSI GF63 
416,Asus R565JP
417,MSI Sword 15 11UD Core i7 11800H 8GB 512GB SSD 4GB Full HD Laptop
418,
419,
420,ASUS E410MA Dark Blue
421,
422,HP Victus i5 12450H-8GB-512GB SSD-GTX1650 4GB-FHD 15.6 inch laptop
423,Lenovo IdeaPad 5
424,
425,
426,Laptop Lenovo Legion 5 Pro
427,Acer Aspire A315
428, ASUS  FX706HE  TUF  GAMING
429,Laptop Lenovo Legion 5
430,
431,HP Core i9 11900H - 32GB - 1TB SSD - 16GB RTX3080 - 144Hz - FULL HD
432,لپ تاپ اچ پی مدل FA0013DX Core i5 (12450) 8GB 1TBssd 4GB GTX1650
433,
434,Ideapad Gaming 3 Ryzen7 5800H 16 512 SSD RTX 3050 4GB 15.6 FULL HD
435,MSI MODERN  15  A11MU
436,Victus Gaming 15-FA0032DX i7 12650H 16G 1T SSD 4G 3050TI FHD IPS
437,Lenovo IdeaPad 3 
438,
439,TUF Gaming F15 FX506HF i5 11400H 16G 512SSD 4G 2050 FHD Laptop
440,
441,
442,LapTop HP Zbook Firefiy 14 G8 Mobile Workstation
443,Acer Nitro 5 AN515 
444,Apple MacBook Pro MV912 | 15 inch | Core i9 | 16GB | 512GB | 4GB
445,Lenovo IdeaPad Gaming 3
446,Dell Latitude 7420 i7 1185G7 16GB 512GB Intel FHD Laptop
447,
448,Asus Vivobook X712EQ-AU112 i5 1135G7-8GB-1TSSD-2GB MX350-FHDLaptop
449,Asus ROG STRIX G713RC
450,
451,Asus R565EA-BQ2625 i5 1135G7-8GB-512GB SSD- Intel UHD Graphic-15.6 inch FHD Laptop
452,
453,
454,Asus VivoBook R1502ZA i5 16GB 512GB Intel FHD
455,Asus R1502ZA i5 1235U-16GB-1TB SSD-Int-FHD Laptop
456,لپ تاپ اپل مک بوک پرو CTO
457,
458,Laptop Lenovo Legion 5
459,
460,Laptop Asus  FX506LH
461,لپ تاپ ایسوس FX517 ZC
462, Laptop Lenovo ThinkBook 15
463,
464,HP Pavilion x360 15t ER100 - 7B Core i7 1255U 32GB 1TB SSD Intel Full HD Touch Laptop
465,لپ تاپ اپل مک بوک پرو MK233
466,ASUS G733ZW
467,ASUS M7600QE
468,Asus TUF Gaming F15 FX507ZC i5 12500H 16GB 1TD 4GB RTX3050 FHD 15.6 inch Laptop
469,
470,HP EliteBook X360
471,MateBook D13 Core i7 10510U 16GB 512GB SSD 2GB Full HD Laptop
472,ASUS  ZenBook  Flip  13  OLED   UX363EA  A 
473,
474,Asus Ryzen 7 5700U - 8GB - 512SSD - 2GB MX450 - FULL HD - TOUCH
475,VICTUS 16t D0002 - B Core i7 11800H 32GB 1TB SSD 6GB 3060 Full HD IPS Laptop
476,
477,
478,MSI Summit E13 Flip Evo A12MT Core i7 1280P 16GB 1TB SSD Intel Full HD IPS Touch Laptop
479,ASUS ROG Strix G17 G713QR-HG120 Ryzen9-5900HX/16GB/1TB SSD/8GB RTX 3070 17.3 inch Gaming Laptop
480,ASUS X515EA-BQ945 Core i3-1115G4/4GB/256GB SSD/INT Full HD
481,Lenovo  IdeaPad 3 FAB
482,X515EP Core i5 1135G7 16GB 1TB SSD 2GB MX330 FHD Laptop
483,VivoBook R1502ZA Core i7 1255U 8GB 512GB SSD INTEL Full HD Laptop
484,Laptop Microsoft Surface 2
485, Lenovo IdeaPad L3
486,
487,ASUS TUF Gaming F17 FX706HEB 
488,Lenovo ideapad L340 
489,Laptop Lenovo Legion 5
490,Laptop Lenovo V15 
491,Apple MacBook Pro MJLQ2 | 15 inch | Core i7 | 16GB | 256GB
492,
493,Lenovo IdeaPad Gaming 3 
494,MICROSOFT SURFACE LAPTOP 3
495,
496,
497,Lenovo IdeaPad Gaming 3 
498,"Lenovo Legion 5 Pro 16IAH7H ,16"" WQXGA 165Hz-,Intel Core i9-12900H, 32GB RAM, 2TB SSD, NVIDIA GeForce RTX 3070Ti 8GB, Backlit English KB, Win 11, Storm Grey"
499,
500,
501,لپ تاپ ایسوس مدلTUF GAMING FX506HF CORE I5(11400) 8GB 512SSD 4GB (2050)
502,ASUS Corei9 12900H-16GB-1SSD-6GB GeForce RTX 3060-FHD-360Hz
503,
504,
505,
506,Asus ROG Strix G15 G513IC
507,ASUS TUF Gaming FX506HE
508,
509,HP EF2126WM
510,
511,Asus R7 6800HS-32GB-1TB SSD-4GB 3050Ti-WQUXGA Touch Laptop
512,Laptop Lenovo V15 
513,لپ تاپ مایکروسافت Surface Laptop Studio
514,VivoBook R565JP Core i7 1065G7 16GB 512GB SSD 2GB MX330 Full HD Laptop
515,Asus TUF F15 FX516PE
516,Asus TUF Gaming A17 FA707RM R7 6800H 16GB 1TB SSD 6GB FHD Laptop
517,Asus i9 12900H-32GB-1+1TB SSD-16GB 3080Ti-WQHD Laptop
518,
519,MSI Stealth 15M A11UEK
520,لپ تاپ 15 اینچی لنوو مدل ideapad 1
521,V15 Core i3 1115G4 12GB 256GB SSD Intel Full HD Laptop
522,
523,ENVY x360 15t ES100 - B Core i7 1195G7 32GB 1TB SSD 2GB MX450 Full HD IPS Touch Laptop
524,Laptop HP VICTUS 15 FA-1032NE Core i7 13700H 32GB 1TB SSD 6GB FHD
525,ASUS ROG Zephyrus M16-GU603ZM
526,Asus Core i7 12700H - 32GB - 1SSD - 8GB RTX 3070 - 300Hz - Full HD
527,MSI Crosshair 15 B12UEZO Core i7 12700H 16GB 1TB SSD 6GB 3060 QHD Laptop
528,
529,
530,
531,MSI Creator Z16 A12UET Core i7 12700H 16GB 1TB SSD 6GB QHD Laptop
532,Laptop Lenovo V15
533,
534,HP 250 G7 Celeron (N4020) 4GB 1TB Intel HD Laptop
535,Laptap HP Zbook firefly 14 G9 Mobile Workstation
536,Asus ExpertBook B7402FEA
537,
538,
539,
540,
541,Laptop Surface 3
542, Laptop Asus R565EP
543,
544,Asus Ryzen 7-5800H 16GB-1TB SSD-4GB RTX 3050 15.6 inch HD Laptop
545, Aspire  A315  58G  30KZ
546,
547,"SAMSUNG 13.3” Galaxy Book2 Pro Laptop Computer, i5 / 16GB / 256GB, 12th Gen Intel Core Processor, Evo Certified, Lightweight, 2022 Model, Silver (NP930XED-KB1US)"
548,IdeaPad 3 15IGL05 (Celeron_UHD)
549,
550,
551,LENOVO GAMING 3  LAPTOP
552,
553,
554,ASUS VivoBook X515JA-BR3991W Core i3 8GB 512GB SSD ۱۵.۶ inch Laptop
555,Asus VivoBook R565EP 
556,
557,ZenBook 17 Fold UX9702AA DH Core i7 1250U 16GB 1TB SSD Intel Touch OLED Laptop
558,MSI i9 13950HX-32GB-2TB SSD-12GB 4080-QHD Laptop
559,
560,Laptop Lenovo Legion 5 Pro
561,
562,لپ تاپ ایسوس R1502 ZA
563,Acer Nitro 5 AN515
564,Aspire 5 A515 Core i5 1235U 8GB 256GB SSD 2GB MX550 Full HD Laptop
565,Apple M2-16GB-512GB SSD-10Core GPU Laptop
566,
567,
568,microsoft surface book 1
569,ASUS  VivoBook  14  R427FA  
570,MSI Raider GE67 12UGS i9 12900HX 32GB 1TB SSD 8GB QHD Gaming Laptop
571,ASUS FA507RC R7 : 6800H-16GB- 1TB SSD- 4GB- RTX 3050
572,
573,Laptop Lenovo ThinkBook 15  
574,ASUS ROG G513RW STRIX
575,
576,Asus VivoBook X509FA
577,HP ProBook 440 G5 14 inch Laptop
578,Lenovo Legion 5 Pro
579,
580, Asus VivoBook R565JP 
581,Dell Latitude 5290 | 12 inch | Core i5 | 16GB | 512GB
582,
583,TUF Gaming FX517ZM Core i7 12650H 32GB 1TB SSD 6GB RTX3060 Full HD Laptop
584,
585,
586,
587,HP Victus15 
588,HP R5 5600H-16GB-1TB SSD-4GB 3050-FHD Laptop
589,
590,HP OMEN 16 B0003
591,
592,
593,ASUS X515MA
594,
